"name","DNA_97_S38","DNA73_S32","DNA76_S35"
"Begomovirus emiliafujianense",0,0,0
"Begomovirus jacquemontiamusivi",0,0,0
"Begomovirus jatrophae",0,0,0
"Begomovirus malvastrumcambodiaense",0,0,0
"Begomovirus moralesi",0,0,0
"Begomovirus sidamicranthae",0,0,0
"Begomovirus sidaureivariati",0,0,0
"Begomovirus siegesbeckiae",0,0,0
"Begomovirus solanumflavusmalacitanum",0,0,0
"Begomovirus solanummadagascarense",0,0,0
"Begomovirus solanummoheliense",0,0,0
"Begomovirus solanumpallidi",0,0,0
"Begomovirus solanumpatnaense",0,0,0
"Begomovirus wissadulaflavi",0,0,0
"Beihai narna-like virus 23",0,0,0
"Beihai permutotetra-like virus 2",0,0,0
"Beihai picorna-like virus 104",0,0,0
"Beihai picorna-like virus 18",0,0,0
"Beihai picorna-like virus 20",0,0,0
"Beihai picorna-like virus 43",0,0,0
"Beihai picorna-like virus 72",0,0,0
"Beihai picorna-like virus 91",0,0,0
"Beihai sea slater virus 2",0,0,0
"Beihai sea slater virus 4",0,0,0
"Beihai sesarmid crab virus 1",0,0,0
"Beihai sipunculid worm virus 1",0,0,0
"Beihai sobemo-like virus 25",0,0,0
"Beihai sobemo-like virus 5",0,0,0
"Beihai tiger crab virus 1",0,0,0
"Beihai tombus-like virus 10",0,0,0
"Beihai tombus-like virus 9",0,0,0
"Bellamyvirus bellamy",0,2,1
"Benyvirus solibetae",0,0,0
"Bequatrovirus riley",0,0,0
"Bequatrovirus spock",0,0,0
"Berlinvirus 285P",0,0,1
"Berlinvirus A7",0,0,0
"Berlinvirus BA14",0,0,0
"Berlinvirus Kvp1",0,0,0
"Berlinvirus PP74",0,0,0
"Berlinvirus PYPS50",0,0,0
"Berlinvirus S523",0,0,0
"Bertelyvirus BL9",0,0,0
"Besingivirus coli",0,0,0
"Betabaculovirus adoranae",0,0,0
"Betabaculovirus agsegetum",0,0,0
"Betabaculovirus alterclanastomosis",0,0,0
"Betabaculovirus altermyunipunctae",0,1,0
"Betabaculovirus arrapae",0,0,0
"Betabaculovirus chofumiferanae",190,47,19
"Betabaculovirus clanachoretae",0,0,0
"Betabaculovirus clanastomosis",0,0,0
"Betabaculovirus cnamedinalis",0,0,0
"Betabaculovirus cryleucotretae",0,0,0
"Betabaculovirus cypomonellae",0,0,0
"Betabaculovirus disaccharalis",0,0,0
"Betabaculovirus epaporemae",0,0,0
"Betabaculovirus erellonis",0,0,0
"Betabaculovirus helarmigerae",0,0,0
"Betabaculovirus hycuneae",0,0,0
"Betabaculovirus maphaseoli",0,1,0
"Betabaculovirus molatipedis",0,0,0
"Betabaculovirus phoperculellae",0,0,0
"Betabaculovirus plinterpunctellae",0,0,0
"Betabaculovirus pluxylostellae",0,0,0
"Betabaculovirus spliturae",0,0,0
"Betabaculovirus spofrugiperdae",0,4,2
"Betacoronavirus gravedinis",0,0,0
